Date,Open,High,Low,Close,Adj Close,Volume
1980/12/12,0.513393,0.515625,0.513393,3503.65,0.023007,117258400
1980/12/15,0.488839,0.488839,0.486607,3495.7,0.021807,43971200
1980/12/16,0.453125,0.453125,0.450893,3518.65,0.020206,26432000
1980/12/17,0.462054,0.464286,0.462054,3543.95,0.020706,21610400
1980/12/18,0.475446,0.477679,0.475446,3568.97,0.021307,18362400
1980/12/19,0.504464,0.506696,0.504464,3591.73,0.022607,12157600
1980/12/22,0.529018,0.53125,0.529018,3538.85,0.023707,9340800
1980/12/23,0.551339,0.553571,0.551339,3483.41,0.024708,11737600
1980/12/24,0.580357,0.582589,0.580357,3470.37,0.026008,12000800
1980/12/26,0.633929,0.636161,0.633929,3621.9,0.028409,13893600
1980/12/29,0.642857,0.645089,0.642857,3668.38,0.028809,23290400
1980/12/30,0.629464,0.629464,0.627232,3648.37,0.028109,17220000
1980/12/31,0.611607,0.611607,0.609375,3616.48,0.027308,8937600
1981/1/2,0.616071,0.620536,0.616071,3654.75,0.027608,5415200
1981/1/5,0.604911,0.604911,0.602679,3640.53,0.027008,8932000
1981/1/6,0.578125,0.578125,0.575893,3618.21,0.025808,11289600
1981/1/7,0.553571,0.553571,0.551339,3617.07,0.024708,13921600
1981/1/8,0.542411,0.542411,0.540179,3678.27,0.024207,9956800
1981/1/9,0.569196,0.571429,0.569196,3607.61,0.025508,5376000
1981/1/12,0.569196,0.569196,0.564732,3632.56,0.025308,5924800
1981/1/13,0.546875,0.546875,0.544643,3659.31,0.024407,5762400
1981/1/14,0.546875,0.549107,0.546875,3654.88,0.024508,3572800
1981/1/15,0.558036,0.5625,0.558036,3669.53,0.025008,3516800
1981/1/16,0.555804,0.555804,0.553571,3673.76,0.024808,3348800
1981/1/19,0.587054,0.589286,0.587054,3596.38,0.026308,10393600
1981/1/20,0.571429,0.571429,0.569196,3585.66,0.025508,7520800
1981/1/21,0.580357,0.584821,0.580357,3459.65,0.026008,3976000
1981/1/22,0.587054,0.591518,0.587054,3346.28,0.026308,8887200
1981/1/23,0.587054,0.589286,0.584821,3391.06,0.026208,2805600
1981/1/26,0.578125,0.578125,0.575893,3417.2,0.025808,6160000
1981/1/27,0.575893,0.575893,0.571429,3411.71,0.025608,5924800
1981/1/28,0.555804,0.555804,0.553571,3439.76,0.024808,7039200
1981/1/29,0.535714,0.535714,0.533482,3441.57,0.023907,10976000
1981/1/30,0.508929,0.508929,0.504464,3457.52,0.022607,11547200
1981/2/2,0.477679,0.477679,0.475446,3422.02,0.021307,5941600
1981/2/3,0.493304,0.495536,0.493304,3373.78,0.022107,4788000
1981/2/4,0.511161,0.513393,0.511161,3447.26,0.022907,6966400
1981/2/5,0.511161,0.515625,0.511161,3425.52,0.022907,1982400
1981/2/6,0.513393,0.515625,0.513393,3423.4,0.023007,3466400
1981/2/9,0.491071,0.491071,0.486607,3393.02,0.021807,4188800
1981/2/10,0.486607,0.488839,0.486607,3338.3,0.021807,4586400
1981/2/11,0.473214,0.473214,0.470982,3307.32,0.021106,3460800
1981/2/12,0.46875,0.46875,0.466518,3298.63,0.020906,3640000
1981/2/13,0.459821,0.459821,0.455357,3318.71,0.020406,2788800
1981/2/17,0.466518,0.46875,0.466518,3192.72,0.020906,3068800
1981/2/18,0.486607,0.491071,0.486607,3172.28,0.021807,4810400
1981/2/19,0.459821,0.459821,0.457589,3073.3,0.020506,5577600
1981/2/20,0.435268,0.435268,0.433036,3068.3,0.019406,6092800
1981/2/23,0.439732,0.441964,0.439732,3103.07,0.019706,3528000
1981/2/24,0.428571,0.428571,0.424107,3149.95,0.019006,4244800
1981/2/25,0.450893,0.453125,0.450893,3151.17,0.020206,4872000
1981/2/26,0.457589,0.459821,0.457589,3164.04,0.020506,2710400
1981/2/27,0.473214,0.477679,0.473214,3213.48,0.021207,3690400
1981/3/2,0.475446,0.477679,0.475446,3159.88,0.021307,2940000
1981/3/3,0.470982,0.470982,0.46875,3122.05,0.021006,4043200
1981/3/4,0.466518,0.466518,0.464286,3204.7,0.020806,3427200
